Language,Articles,All pages,Edits,Admins,Users,Active users,Files
Greek,261806,736113,11373889,22,474487,2714,19613
Belarusian,257577,720152,5055292,9,159106,412,3548
Slovak,256938,595768,8103853,11,277007,1545,0
Estonian,256189,603913,7022839,36,215587,1455,672
South Azerbaijani,244421,579871,1580890,4,58986,128,529
Kazakh,241277,657135,3519743,16,171142,424,8613
Urdu,235812,2303997,9226885,8,202694,393,8376
Minangkabau,228708,473764,3341205,5,22518,106,180
Croatian,228593,493803,7332723,14,341872,1418,21139
Galician,228029,560172,7241510,6,161271,499,34
Lithuanian,224336,560012,7691508,9,206219,814,26975
Azerbaijani,209509,637526,8380981,12,326085,1125,14612
Slovenian,195779,499427,6536216,22,249270,792,8855
Georgian,187943,523264,4933161,6,174823,507,15885
Ladin,180830,188193,245351,3,11699,60,4
Tamil,178854,609247,4404865,32,250466,618,9562
Bangla,177959,1368914,8602751,15,514459,2340,20958
Thai,177953,1146890,12673282,20,521358,3599,6344
Norwegian Nynorsk,176928,398567,3624561,14,148140,206,10
Hindi,166845,1382515,6487047,7,879386,1251,4648
Macedonian,156945,590067,5466383,12,127449,455,8807
Cantonese,148161,334169,2347845,11,314702,1012,3029
Latin,140773,291075,3919197,21,199412,230,0
Latvian,138992,556721,4364403,14,136954,721,28091
Asturian,138238,247249,4444639,7,140295,194,0
Afrikaans,127341,433581,2851342,14,197002,304,9888
Telugu,117261,400751,4585797,11,141069,414,14759
Tajik,116063,283770,1445407,6,97230,127,531
Burmese,109836,261220,956204,4,134317,344,2935
Albanian,104781,320640,2873000,5,178763,507,3434
Swahili,102763,207027,1467777,14,84064,394,1189
Malagasy,101444,258931,1122945,2,37571,73,3
Marathi,100828,326219,2628529,10,175104,394,2432
Bosnian,96231,381955,3774069,9,174376,309,5303
Kurdish,90934,289476,1964860,3,121491,177,555
Occitan,90415,166438,2476188,4,60798,149,305
Belarusian (Taraškievica orthography),90058,263920,2637739,4,93405,267,2183
Breton,89954,160198,2164676,6,87690,135,514
Malayalam,87427,548443,4333674,13,197490,592,7426
Low German,85774,185119,1046246,3,59605,69,0
Lombard,79848,152642,1318840,3,50170,81,795
Central Kurdish,79295,251985,1553482,7,71922,198,2984
Kyrgyz,76114,110246,571572,3,45367,136,2677
Western Punjabi,74789,140557,693977,2,42487,66,31
Javanese,74739,185550,1735727,5,69364,228,4343
Hausa,73046,111608,741050,14,39700,242,0
Newari,72653,169907,883108,2,30281,26,0
Haitian Creole,71399,92889,875461,2,37259,100,0
Piedmontese,70692,106718,878893,4,30541,48,1893
Venetian,69528,143318,1221060,4,40226,63,724
Luxembourgish,66138,144016,2643629,8,68292,164,2543
Mazanderani,64364,107039,325833,4,43732,57,418
Bashkir,63916,183919,1287260,4,45912,78,1430
Irish,62674,112243,1286321,7,69495,151,1007
Sundanese,62155,99753,691568,7,34821,70,419
Icelandic,60861,158845,1933477,11,109606,314,3276
Ido,60148,88170,1091490,4,43637,86,0
Silesian,59607,76003,381531,3,28331,51,0
Punjabi,59210,190365,824035,10,56563,180,1863
Western Frisian,58683,175922,1209509,7,55469,101,7606
Chuvash,58165,121112,864481,2,38723,61,530
Aragonese,50760,183781,2344560,9,85368,86,1912
Tagalog,48801,247994,2180799,10,155257,347,1823
Gilaki,48351,57649,154647,2,17911,30,811
Wu,47020,71621,381368,4,177127,113,6
Volapük,46361,164070,3321162,2,39459,38,0
Igbo,44094,60543,344907,4,34228,117,0
Dimli,42353,63899,538494,3,32256,40,193
Yoruba,36355,61112,605512,4,32671,112,160
Balinese,34510,70366,242912,4,66096,130,141
Scots,34282,138200,903494,3,122858,137,423
Kannada,34091,157779,1314683,5,94753,317,2363
Alemannic,31408,74710,1074512,7,115074,146,596
Gujarati,30724,134716,893184,3,83839,152,0
Interlingua,30151,45844,685428,6,56887,48,4
Kotava,29899,36349,146410,6,7686,27,0
Crimean Tatar,29623,57556,240806,2,55932,46,0
Nepali,29347,112090,1325318,6,74521,191,1472
Bavarian,27202,110584,850006,2,77429,73,1153
Mongolian,26523,113448,839660,5,99835,291,1341
Sicilian,26264,56035,769994,4,49144,68,1077
Bishnupriya,25092,63452,895180,2,27577,17,35
Sinhala,24821,166310,769598,3,75384,188,2934
Saraiki,24335,28731,65439,2,3875,25,0
Quechua,24329,58446,682366,1,33394,55,0
Navajo,22664,37321,308449,2,20020,20,736
Mingrelian,21947,41572,243668,3,22192,37,0
Ossetic,21394,76533,589934,3,27319,41,149
Central Bikol,21229,50054,298816,4,29339,91,798
Pashto,20833,75004,357276,3,37487,77,1815
Northern Frisian,20688,51306,275413,4,23338,28,1482
Assamese,20582,116701,560154,6,47012,173,2376
Odia,20096,85517,571826,4,40191,94,170
Sindhi,19685,70604,341552,4,21121,44,158
Tumbuka,18796,39192,106508,4,10709,32,138
Yakut,17817,53961,421771,4,27984,58,1765
Samogitian,17274,30066,362350,4,28309,32,109
Mindong,16693,33554,104318,3,24187,32,0
Scottish Gaelic,16019,32594,579357,5,31211,40,290
Buginese,15957,20477,205581,1,14867,20,0
Yiddish,15639,44418,598005,3,58522,61,985
Amharic,15458,46433,387273,1,53426,86,1359
Iloko,15440,70546,404377,2,19396,41,0
Limburgish,15145,68666,483540,7,32308,42,622
Neapolitan,14937,24158,670632,3,33372,36,287
Gorontalo,14911,24429,63334,3,7777,50,0
Shan,14356,34257,115688,2,5804,26,74
Maithili,14253,45297,270762,4,16404,35,126
Upper Sorbian,14213,36380,388507,4,27480,41,126
Faroese,14179,41109,385995,3,33546,52,0
Santali,14041,30021,180083,3,10210,68,0
Banyumasan,13940,30444,221710,1,19369,47,452
Literary Chinese,13891,117140,426943,6,111681,76,0
Emiliano-Romagnolo,13736,36822,165248,3,29852,60,2818
Interlingue,13391,17677,166059,1,23128,45,0
Dagbani,13342,24368,122527,1,6924,67,0
Western Armenian,13304,28850,235669,5,13429,43,0
Fula,13148,27726,133184,3,12283,51,0
Acehnese,13006,27967,155296,4,31792,66,0
Walloon,12811,30681,420096,4,27513,31,735
Sanskrit,12418,81292,496190,3,44406,79,445
Fiji Hindi,12079,55174,329424,3,37950,74,187
Standard Moroccan Tamazight,11961,39942,135630,3,23486,85,0
